序号[l][#]	道具名称[l][#]	描述[l]	短描述	使用和产出说明	作用效果[l]	每日限制使用次数[l]	道具类型，根据效果分类[l][#]	转生次数[l]	使用等级[l]	使用者类型[l]	职业限制	物品等级[l]	出售价格[l]	道具品质[l][#]	道具图标[l]	掉落图标[l][#]	叠加上限[l]	无法丢弃摧毁(0可以、1不可以)[l]	有效时间（单位分钟）[l]	是否广播[l]	广播id	界面显示道具品质[l]	是否掉落公告	是否可使用[l]	英雄使用等级	神龙遗迹内是否可使用[l]（0是可以，1是不可以）	掉落特效[#]	红点特效[l]	排序(从大到小)	获得后自动使用[l]	背包类型（0普通1印记）[l]
3111	红名清洗卡	#ffc000|【红名道具】|n|#bfbfbf|前往万能商人处使用可减少|#00ff00| 100点 |#bfbfbf|善恶值|n|#bfbfbf||n|#4ba0de|【商城购买】		#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分	100	0	423	0	0	0	0	0	1	5	001088	001088	100	0	0	0	0	5	0	0	0	0	0	1	16889	0	0
3121	复活玫瑰	#ffc000|【复活道具】|n|#bfbfbf|人物死亡后使用复活玫瑰可回复|#00ff00| 100% |#bfbfbf|生命值|n|#00ffd2|爱情的力量总是无边无际，复活吧我的勇士|n|#4ba0de|【商城购买】		#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	424	0	0	0	0	0	1	6	fhmg	fhmg	100	0	0	0	0	6	0	0	0	0	0	0	16879	0	0
3131	回城石	#ffc000|【传送材料】|n|#bfbfbf|点击使用可立即回到你上次所在的安全区|n|#00ffd2|部份场景限制使用|n|#4ba0de|【商城购买】	#bfbfbf|双击使用可立即回到你上次所在的安全区	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分	50	0	431	0	0	1	0	0	1	1	001010	001010	1	0	0	0	0	1	0	0	0	0	0	0	16869	0	0
3133	回城卷轴	#ffc000|【传送材料】|n|#bfbfbf|点击使用可立即回到你上次所在的安全区|n|#00ffd2|部份场景限制使用|n|#4ba0de|【怪物掉落】	#bfbfbf|双击使用可立即回到你上次所在的安全区	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分	1	0	0	0	0	1	0	0	1	1	hcjz	hcjz	100	0	0	0	0	1	0	0	0	0	0	0	16859	0	0
3141	随机传送石	#ffc000|【传送材料】|n|#bfbfbf|点击使用可让人物在当前场景内任意传送|n|#00ffd2|部份场景限制使用|n|#4ba0de|【商城购买】		#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分	50	0	432	0	0	1	0	0	1	1	001025	001025	1	0	0	0	0	1	0	0	0	0	0	0	16867	0	0
3143	随机传送卷	#ffc000|【传送材料】|n|#bfbfbf|点击使用可让人物在当前场景内任意传送|n|#00ffd2|部份场景限制使用|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分	1	0	0	0	0	1	0	0	1	1	sjjz	sjjz	100	0	0	0	0	1	0	0	0	0	0	0	16857	0	0
3151	千里传音符	#ffc000|【聊天道具】|n|#bfbfbf|可用于在喇叭频道发言，该频道发言可使全服务器玩家看到		#ffff90|按Shift+左键发送至聊天框		0	436	0	0	0	0	0	1	3	001000	001000	100	0	0	0	0	3	0	0	0	1	0	0	16849	0	0
3160	龙之守护	#ffc000|【稀有物品】|n|#bfbfbf|使用后英雄防守模式下免伤提升至|#00ff00|60%|#bfbfbf|，并增加防御|#00ff00|200-200|#bfbfbf|，攻击获得5倍仇恨|n|#4ba0de|【每日活动-特惠礼包】		#ffff90|按Shift+左键发送至聊天框	202:0	0	920	0	0	2	0	0	0	25	lzsh	lzsh	1	0	0	1	20060	25	1	0	0	0	0	1	16840	0	0
3161	行会召唤令	#ffc000|【稀有物品】|n|#bfbfbf|召唤行会全体成员到达召唤者当前位置（活动地图除外）|n|#4ba0de|【商城购买】		#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分	1800	0	413	0	0	0	0	0	1	25	hhzhl	hhzhl	100	0	0	0	0	25	0	0	0	0	0	0	16839	0	0
3162	队伍召唤令	#ffc000|【稀有物品】|n|#bfbfbf|召唤队伍全体成员到达召唤者当前位置（活动地图除外）|n|#4ba0de|【商城购买】		#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分	1800	0	363	0	0	0	0	0	1	25	dwzhl	dwzhl	100	0	0	0	0	25	0	0	0	0	0	0	16838	0	0
3171	秋水无痕	#ffc000|【稀有物品】|n|#bfbfbf|可将绑定的4转及以上装备、5阶及以上魔器和所有神器解除绑定！|n|#bfbfbf|双击道具可快速传送至|#00ffd2| 万能商人 |#bfbfbf|处|n|#bfbfbf||n|#4ba0de|【商城购买】		#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	409	0	0	0	0	0	1	26	qswh	qswh	100	0	0	0	0	26	0	0	0	1	0	0	16829	0	0
3181	神石之核	#ffc000|【稀有物品】|n|#bfbfbf|使用后最多可恢复当前角色穿戴的魔血神石|#00ffd2| 20%+3000000 |#bfbfbf|存储量。|n|#4ba0de|【商城购买】		#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分	20:3000000	0	1004	0	0	0	0	0	1	36	sszh	sszh	10	0	0	0	0	36	0	0	0	0	0	1	16819	0	0
3182	火龙之息	#ffc000|【稀有物品】|n|#bfbfbf|使用后最多可恢复当前英雄穿戴的火龙之心|#00ffd2| 20%+500000 |#bfbfbf|存储量。|n|#4ba0de|【商城购买】		#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分	20:500000	0	1005	0	0	0	0	0	1	36	hlzx	hlzx	10	0	0	0	0	36	0	0	0	0	0	1	16817	0	0
3183	万毒之源	#ffc000|【稀有物品】|n|#bfbfbf|使用后最多可恢复当前角色穿戴的毒药装备|#00ffd2| 20%+2000 |#bfbfbf|存储量。|n|#4ba0de|【商城购买】		#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分	20:2000	0	1006	0	0	0	0	0	1	36	wdzy	wdzy	10	0	0	0	0	36	0	0	0	0	0	1	16815	0	0
3184	魔血结晶	#ffc000|【稀有物品】|n|#bfbfbf|使用后最多可恢复当前角色穿戴的魔血神石|#00ffd2| 3%+500000 |#bfbfbf|存储量。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分	3:500000	0	1004	0	0	0	0	0	1	36	mxjj	mxjj	100	0	0	0	0	36	1	0	0	0	0	1	16818	0	0
3185	九花玉露	#ffc000|【稀有物品】|n|#bfbfbf|使用后最多可恢复当前英雄穿戴的火龙之心|#00ffd2| 3%+100000 |#bfbfbf|存储量。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分	3:100000	0	1005	0	0	0	0	0	1	36	jhyl	jhyl	100	0	0	0	0	36	1	0	0	0	0	1	16816	0	0
3186	灰色粉末	#ffc000|【稀有物品】|n|#bfbfbf|使用后最多可恢复当前角色穿戴的毒药装备|#00ffd2| 2000 |#bfbfbf|存储量。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分	0:2000	0	1006	0	0	0	0	0	1	36	hsfm	hsfm	100	0	0	0	0	36	1	0	0	0	0	1	16814	0	0
3201	魔血石	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复生命值和魔法值，恢复效果由生命恢复属性值决定。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1001	0	0	0	0	0	0	31	xms001	xms001	1	0	0	0	0	31	0	0	0	0	0	0	16780	0	0
3202	圣战神石	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复生命值和魔法值，恢复效果由生命恢复属性值决定。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1001	0	45	0	0	0	0	31	xms001	xms001	1	0	0	0	0	31	0	0	0	0	0	0	16781	0	0
3203	战神神石	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复生命值和魔法值，恢复效果由生命恢复属性值决定。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1001	0	50	0	0	0	0	32	xms001	xms001	1	0	0	0	0	32	0	0	0	0	0	0	16782	0	0
3204	天龙神石	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复生命值和魔法值，恢复效果由生命恢复属性值决定。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1001	0	55	0	0	0	0	33	xms001	xms001	1	0	0	0	0	33	0	0	0	0	0	0	16783	0	0
3205	王者神石	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复生命值和魔法值，恢复效果由生命恢复属性值决定。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1001	0	60	0	0	0	0	33	xms001	xms001	1	0	0	0	0	33	0	0	0	0	0	0	16784	0	0
3206	金牛神石	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复生命值和魔法值，恢复效果由生命恢复属性值决定。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1001	0	65	0	0	0	0	35	xms001	xms001	1	0	0	0	0	35	1	0	0	0	0	0	16785	0	0
3207	炎龙神石	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复生命值和魔法值，恢复效果由生命恢复属性值决定。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1001	0	70	0	0	0	0	35	xms002	xms002	1	0	0	0	0	35	1	0	0	0	0	0	16786	0	0
3208	荣耀神石	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复生命值和魔法值，恢复效果由生命恢复属性值决定。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1001	0	80	0	0	0	0	35	xms003	xms003	1	0	0	0	0	35	1	0	0	0	0	0	16787	0	0
3209	主宰神石	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复生命值和魔法值，恢复效果由生命恢复属性值决定。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1001	0	90	0	0	0	0	35	xms004	xms004	1	0	0	0	0	35	1	0	0	0	0	0	16788	0	0
3210	传奇神石	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复生命值和魔法值，恢复效果由生命恢复属性值决定。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1001	0	100	0	0	0	0	35	xms005	xms005	1	0	0	0	0	35	1	0	0	0	0	0	16789	0	0
3211	皓月神石	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复生命值和魔法值，恢复效果由生命恢复属性值决定。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1001	1	0	0	0	0	0	36	xms006	xms006	1	0	0	0	0	36	1	0	0	0	0	0	16790	0	0
3212	皓天神石	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复生命值和魔法值，恢复效果由生命恢复属性值决定。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1001	2	0	0	0	0	0	36	xms007	xms007	1	0	0	0	0	36	1	0	0	0	0	0	16791	0	0
3213	皓宇神石	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复生命值和魔法值，恢复效果由生命恢复属性值决定。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1001	3	0	0	0	0	0	36	xms008	xms008	1	0	0	0	0	36	1	0	0	0	0	0	16792	0	0
3214	皓尊神石	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复生命值和魔法值，恢复效果由生命恢复属性值决定。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1001	4	0	0	0	0	0	36	xms009	xms009	1	0	0	0	0	36	1	0	0	0	0	0	16793	0	0
3215	热血神石	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复生命值和魔法值，恢复效果由生命恢复属性值决定。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1001	5	0	0	0	0	0	36	xms010	xms010	1	0	0	0	0	36	1	0	0	0	0	0	16794	0	0
3216	神龙神石	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复生命值和魔法值，恢复效果由生命恢复属性值决定。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1001	6	0	0	0	0	0	46	xms011	xms011	1	0	0	0	0	46	1	0	0	0	0	0	16795	0	0
3217	真龙神石	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复生命值和魔法值，恢复效果由生命恢复属性值决定。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1001	7	0	0	0	0	0	46	xms012	xms012	1	0	0	0	0	46	1	0	0	0	0	0	16796	0	0
3218	影刺神石	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复生命值和魔法值，恢复效果由生命恢复属性值决定。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1001	8	0	0	0	0	0	46	xms013	xms013	1	0	0	0	0	46	1	0	0	0	0	0	16797	0	0
3219	绝影神石	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复生命值和魔法值，恢复效果由生命恢复属性值决定。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1001	9	0	0	0	0	0	46	xms014	xms014	1	0	0	0	0	46	1	0	0	0	0	0	16798	0	0
3220	至尊神石	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复生命值和魔法值，恢复效果由生命恢复属性值决定。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1001	10	0	0	0	0	0	46	xms015	xms015	1	0	0	0	0	46	1	0	0	0	0	0	16799	0	0
3301	火龙之心	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复怒气值。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1002	0	1	0	0	0	0	31	lp001	lp001	1	0	0	0	0	31	0	0	0	0	0	0	16680	0	0
3302	圣战之心	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复怒气值。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1002	0	45	0	0	0	0	31	lp001	lp001	1	0	0	0	0	31	0	0	0	0	0	0	16681	0	0
3303	战神之心	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复怒气值。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1002	0	50	0	0	0	0	32	lp001	lp001	1	0	0	0	0	32	0	0	0	0	0	0	16682	0	0
3304	天龙之心	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复怒气值。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1002	0	55	0	0	0	0	33	lp001	lp001	1	0	0	0	0	33	0	0	0	0	0	0	16683	0	0
3305	王者之心	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复怒气值。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1002	0	60	0	0	0	0	33	lp001	lp001	1	0	0	0	0	33	0	0	0	0	0	0	16684	0	0
3306	金牛之心	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复怒气值。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1002	0	65	0	0	0	0	35	lp001	lp001	1	0	0	0	0	35	1	0	0	0	0	0	16685	0	0
3307	炎龙之心	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复怒气值。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1002	0	70	0	0	0	0	35	lp002	lp002	1	0	0	0	0	35	1	0	0	0	0	0	16686	0	0
3308	荣耀之心	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复怒气值。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1002	0	80	0	0	0	0	35	lp003	lp003	1	0	0	0	0	35	1	0	0	0	0	0	16687	0	0
3309	主宰之心	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复怒气值。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1002	0	90	0	0	0	0	35	lp004	lp004	1	0	0	0	0	35	1	0	0	0	0	0	16688	0	0
3310	传奇之心	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复怒气值。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1002	0	100	0	0	0	0	35	lp005	lp005	1	0	0	0	0	35	1	0	0	0	0	0	16689	0	0
3311	皓月之心	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复怒气值。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1002	1	0	0	0	0	0	36	lp006	lp006	1	0	0	0	0	36	1	0	0	0	0	0	16690	0	0
3312	皓天之心	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复怒气值。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1002	2	0	0	0	0	0	36	lp007	lp007	1	0	0	0	0	36	1	0	0	0	0	0	16691	0	0
3313	皓宇之心	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复怒气值。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1002	3	0	0	0	0	0	36	lp008	lp008	1	0	0	0	0	36	1	0	0	0	0	0	16692	0	0
3314	皓尊之心	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复怒气值。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1002	4	0	0	0	0	0	36	lp009	lp009	1	0	0	0	0	36	1	0	0	0	0	0	16693	0	0
3315	热血之心	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复怒气值。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1002	5	0	0	0	0	0	36	lp010	lp010	1	0	0	0	0	36	1	0	0	0	0	0	16694	0	0
3316	神龙之心	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复怒气值。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1002	6	0	0	0	0	0	46	lp011	lp011	1	0	0	0	0	46	1	0	0	0	0	0	16695	0	0
3317	真龙之心	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复怒气值。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1002	7	0	0	0	0	0	46	lp012	lp012	1	0	0	0	0	46	1	0	0	0	0	0	16696	0	0
3318	影刺之心	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复怒气值。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1002	8	0	0	0	0	0	46	lp013	lp013	1	0	0	0	0	46	1	0	0	0	0	0	16697	0	0
3319	绝影之心	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复怒气值。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1002	9	0	0	0	0	0	46	lp014	lp014	1	0	0	0	0	46	1	0	0	0	0	0	16698	0	0
3320	至尊之心	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可持续恢复怒气值。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1002	10	0	0	0	0	0	46	lp015	lp015	1	0	0	0	0	46	1	0	0	0	0	0	16699	0	0
3401	毒药	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可使施毒术技能伤害和持续时间增加。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1003	0	1	0	0	0	0	31	db001	db001	1	0	0	0	0	31	0	0	0	0	0	0	16580	0	0
3402	圣战毒药	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可使施毒术技能伤害和持续时间增加。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1003	0	45	0	0	0	0	31	db001	db001	1	0	0	0	0	31	0	0	0	0	0	0	16581	0	0
3403	战神毒药	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可使施毒术技能伤害和持续时间增加。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1003	0	50	0	0	0	0	32	db001	db001	1	0	0	0	0	32	0	0	0	0	0	0	16582	0	0
3404	天龙毒药	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可使施毒术技能伤害和持续时间增加。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1003	0	55	0	0	0	0	33	db001	db001	1	0	0	0	0	33	0	0	0	0	0	0	16583	0	0
3405	王者毒药	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可使施毒术技能伤害和持续时间增加。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1003	0	60	0	0	0	0	33	db001	db001	1	0	0	0	0	33	0	0	0	0	0	0	16584	0	0
3406	金牛毒药	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可使施毒术技能伤害和持续时间增加。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1003	0	65	0	0	0	0	35	db001	db001	1	0	0	0	0	35	1	0	0	0	0	0	16585	0	0
3407	炎龙毒药	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可使施毒术技能伤害和持续时间增加。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1003	0	70	0	0	0	0	35	db002	db002	1	0	0	0	0	35	1	0	0	0	0	0	16586	0	0
3408	荣耀毒药	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可使施毒术技能伤害和持续时间增加。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1003	0	80	0	0	0	0	35	db003	db003	1	0	0	0	0	35	1	0	0	0	0	0	16587	0	0
3409	主宰毒药	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可使施毒术技能伤害和持续时间增加。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1003	0	90	0	0	0	0	35	db004	db004	1	0	0	0	0	35	1	0	0	0	0	0	16588	0	0
3410	传奇毒药	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可使施毒术技能伤害和持续时间增加。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1003	0	100	0	0	0	0	35	db005	db005	1	0	0	0	0	35	1	0	0	0	0	0	16589	0	0
3411	皓月毒药	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可使施毒术技能伤害和持续时间增加。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1003	1	0	0	0	0	0	36	db006	db006	1	0	0	0	0	36	1	0	0	0	0	0	16590	0	0
3412	皓天毒药	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可使施毒术技能伤害和持续时间增加。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1003	2	0	0	0	0	0	36	db007	db007	1	0	0	0	0	36	1	0	0	0	0	0	16591	0	0
3413	皓宇毒药	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可使施毒术技能伤害和持续时间增加。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1003	3	0	0	0	0	0	36	db008	db008	1	0	0	0	0	36	1	0	0	0	0	0	16592	0	0
3414	皓尊毒药	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可使施毒术技能伤害和持续时间增加。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1003	4	0	0	0	0	0	36	db009	db009	1	0	0	0	0	36	1	0	0	0	0	0	16593	0	0
3415	热血毒药	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可使施毒术技能伤害和持续时间增加。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1003	5	0	0	0	0	0	36	db010	db010	1	0	0	0	0	36	1	0	0	0	0	0	16594	0	0
3416	神龙毒药	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可使施毒术技能伤害和持续时间增加。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1003	6	0	0	0	0	0	46	db011	db011	1	0	0	0	0	46	1	0	0	0	0	0	16595	0	0
3417	真龙毒药	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可使施毒术技能伤害和持续时间增加。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1003	7	0	0	0	0	0	46	db012	db012	1	0	0	0	0	46	1	0	0	0	0	0	16596	0	0
3418	影刺毒药	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可使施毒术技能伤害和持续时间增加。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1003	8	0	0	0	0	0	46	db013	db013	1	0	0	0	0	46	1	0	0	0	0	0	16597	0	0
3419	绝影毒药	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可使施毒术技能伤害和持续时间增加。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1003	9	0	0	0	0	0	46	db014	db014	1	0	0	0	0	46	1	0	0	0	0	0	16598	0	0
3420	至尊毒药	#ffc000|【稀有物品】|n|#bfbfbf|穿戴后，可使施毒术技能伤害和持续时间增加。|n|#4ba0de|【怪物掉落】		#ffff90|按Shift+左键发送至聊天框		0	1003	10	0	0	0	0	0	46	db015	db015	1	0	0	0	0	46	1	0	0	0	0	0	16599	0	0
3421	落宝金钱	#ffc000|【稀有物品】|n|#bfbfbf|使用后，玩家打怪|#00ff00|爆率|#bfbfbf|永久提升|#00ff00|10%|n|#4ba0de|【超值礼包】		#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分	151:-1	0	360	0	0	1	0	40	0	26	lbjq	lbjq	1	0	0	1	19704	26	0	1	0	0	0	1	18789	0	0
3422	血符凝魂丹	#ffc000|【稀有物品】|n|#bfbfbf|使用后可|#00ff00|降低主角3级及以上先天血符20%升级消耗。|n|#bfbfbf|若主角先天血符小于|#00ff00| 2级 |#bfbfbf|则可直接提升主角先天血符至|#00ff00| 2级 |#bfbfbf||n|#bfbfbf|主角先天血符大于等于|#00ff00| 2级 |#bfbfbf|使用可获得|#00ff00|30个|#bfbfbf|先天血符碎片|n|#4ba0de|【每日活动-特惠礼包】			1:2:281:30	0	1104	0	0	0	0	0	0	25	icon_xtxfzsd	icon_xtxfzsd	1	0	0	1	19812	25	0	1	0	0	0	0	16578	0	0
